,glac_name,glacier_id,surging,probability,training_data,validation
716,Svalisbreen,G016777E76955N,1,0.9335112514945638,1,1
717,Mendelejevbreen,G016685E76964N,0,0.947493972916852,,
718,Mendelejevbreen,G016557E76915N,1,0.6620641986445073,0,0
719,Mendelejevbreen,G016493E76955N,1,0.6828649984098796,,
720,Mendelejevbreen,G016427E76966N,0,0.9103939728242121,,
721,Chomjakovbreen,G016435E76929N,1,0.5445875193685676,0,0
722,Samarinbreen East,G016395E76920N,1,0.7165218695845139,,
723,Samarinbreen West,G016221E76879N,0,0.8484875565943139,,
724,Eggbreen,G016177E76932N,0,0.9805291423783989,,
725,Petersbreen,G016155E76949N,0,0.9068525760933834,,
726,Körberbreen,G016050E76938N,0,0.8310876965006242,,
727,,G015995E76940N,0,0.9399521196492427,,
728,Gåsbreen,G015992E76925N,1,0.6974873890588815,,
729,Gåsbreen,G016039E76906N,0,0.9838829458868755,,
730,Goesbreen,G016011E76897N,1,0.6376233947929135,,
731,Goesbreen,G015993E76890N,0,0.7956449445575713,,
732,Goesbreen,G015938E76891N,0,0.5390604885390351,,
733,Gråkallbreen,G015963E76869N,1,0.7019753634382008,,
734,Weiderbreen,G015987E76835N,1,0.5586230618645718,,
735,Bungebreen,G016163E76838N,0,0.5531582689908291,,
736,Bungebreen,G016200E76799N,1,0.6963910414185738,,
737,Bungebreen,G016197E76787N,0,0.5492615463233499,,
738,Vitkovskibreen,G016292E76781N,0,0.9496164584125667,,
739,Olsokbreen,G016482E76791N,1,0.7847128496807064,0,2
740,Vasilievbreen,G016757E76881N,0,0.6202777436691734,,
741,Randbreen,G017021E76720N,0,0.9649166048600719,,
742,,G017035E76704N,1,0.5357223115607872,,
743,Svartkuvbreen,G016877E76683N,0,0.5458435572223518,,
744,Svartkuvbreen,G016919E76674N,1,0.5751920246102886,,
745,Keilhaubreen,G016904E76658N,1,0.8972841812680354,,
746,Keilhaubreen,G016904E76635N,0,0.86347078008173,,
747,Mathiasbreen,G016784E76638N,0,0.5287127595711115,,
748,Lyngebreen,G016693E76620N,0,0.8831883102944473,,
